"TQQQ210917C00015000",2021-03-08 16:27:58,"Sep.17.2021","TQQQ","C",15,80.5,0,67.55,70,2,38,2021-03-02 10:06:17,1.43554969726562,TRUE
"TQQQ210917C00017500",2021-03-08 16:27:58,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.46631126220703,TRUE
"TQQQ210917C00010000",2021-03-08 16:43:51,"Sep.17.2021","TQQQ","C",10,73,-6.550003,72.55,74.25,20,36,2021-03-03 11:32:01,2.24219189453125,TRUE
"TQQQ210917C00012500",2021-03-08 16:43:51,"Sep.17.2021","TQQQ","C",12.5,78.2,0,69.9,72,1,12,2021-03-03 11:25:06,1.99414065429687,TRUE
"TQQQ210917C00015000",2021-03-08 16:43:51,"Sep.17.2021","TQQQ","C",15,80.5,0,67.05,69.95,2,38,2021-03-02 10:06:17,1.80322364013672,TRUE
"TQQQ210917C00017500",2021-03-08 16:43:51,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.81201265869141,TRUE
"TQQQ210917C00010000",2021-03-08 16:59:58,"Sep.17.2021","TQQQ","C",10,73,-6.550003,71.5,73.9,20,36,2021-03-03 11:32:01,2.31152765869141,TRUE
"TQQQ210917C00012500",2021-03-08 16:59:58,"Sep.17.2021","TQQQ","C",12.5,78.2,0,68.8,71.2,1,12,2021-03-03 11:25:06,1.97167982910156,TRUE
"TQQQ210917C00015000",2021-03-08 16:59:58,"Sep.17.2021","TQQQ","C",15,80.5,0,66.8,69.25,2,38,2021-03-02 10:06:17,1.91113325683594,TRUE
"TQQQ210917C00017500",2021-03-08 16:59:58,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.99804688476562,TRUE
"TQQQ210917C00010000",2021-03-08 17:16:05,"Sep.17.2021","TQQQ","C",10,73,-6.550003,70.6,73.15,20,36,2021-03-03 11:32:01,2.1093797265625,TRUE
"TQQQ210917C00012500",2021-03-08 17:16:05,"Sep.17.2021","TQQQ","C",12.5,78.2,0,68.35,70.8,1,12,2021-03-03 11:25:06,1.93164096679688,TRUE
"TQQQ210917C00015000",2021-03-08 17:16:05,"Sep.17.2021","TQQQ","C",15,80.5,0,66,68.45,2,38,2021-03-02 10:06:17,1.77588002685547,TRUE
"TQQQ210917C00017500",2021-03-08 17:16:05,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,2.05908688354492,TRUE
"TQQQ210917C00010000",2021-03-08 17:31:48,"Sep.17.2021","TQQQ","C",10,73,-6.550003,70.45,72.85,20,36,2021-03-03 11:32:01,1.96582048339844,TRUE
"TQQQ210917C00012500",2021-03-08 17:31:48,"Sep.17.2021","TQQQ","C",12.5,78.2,0,67.55,70.3,1,12,2021-03-03 11:25:06,1.72168107910156,TRUE
"TQQQ210917C00015000",2021-03-08 17:31:48,"Sep.17.2021","TQQQ","C",15,80.5,0,65.25,67.85,2,38,2021-03-02 10:06:17,1.56640841796875,TRUE
"TQQQ210917C00017500",2021-03-08 17:31:48,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.78613388183594,TRUE
"TQQQ210917C00010000",2021-03-08 17:47:30,"Sep.17.2021","TQQQ","C",10,73,-6.550003,70.5,72.5,20,36,2021-03-03 11:32:01,1.65820483398438,TRUE
"TQQQ210917C00012500",2021-03-08 17:47:30,"Sep.17.2021","TQQQ","C",12.5,78.2,0,67.5,70.15,1,12,2021-03-03 11:25:06,1.5546897265625,TRUE
"TQQQ210917C00015000",2021-03-08 17:47:30,"Sep.17.2021","TQQQ","C",15,80.5,0,65.1,68.05,2,38,2021-03-02 10:06:17,1.55761939941406,TRUE
"TQQQ210917C00017500",2021-03-08 17:47:30,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.73486460693359,TRUE
"TQQQ210917C00010000",2021-03-08 18:03:15,"Sep.17.2021","TQQQ","C",10,73,-6.550003,71.45,72.35,20,36,2021-03-03 11:32:01,1.74511846191406,TRUE
"TQQQ210917C00012500",2021-03-08 18:03:15,"Sep.17.2021","TQQQ","C",12.5,78.2,0,67.8,70.3,1,12,2021-03-03 11:25:06,1.33887049316406,TRUE
"TQQQ210917C00015000",2021-03-08 18:03:15,"Sep.17.2021","TQQQ","C",15,80.5,0,66.05,67.7,2,38,2021-03-02 10:06:17,1.38476870117187,TRUE
"TQQQ210917C00017500",2021-03-08 18:03:15,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.89648489257813,TRUE
"TQQQ210917C00010000",2021-03-08 18:18:55,"Sep.17.2021","TQQQ","C",10,73,-6.550003,71.05,72.25,20,36,2021-03-03 11:32:01,1.54199447753906,TRUE
"TQQQ210917C00012500",2021-03-08 18:18:55,"Sep.17.2021","TQQQ","C",12.5,78.2,0,68.05,70.05,1,12,2021-03-03 11:25:06,1.54883038085937,TRUE
"TQQQ210917C00015000",2021-03-08 18:18:55,"Sep.17.2021","TQQQ","C",15,80.5,0,66.05,67.9,2,38,2021-03-02 10:06:17,0.9687503125,TRUE
"TQQQ210917C00017500",2021-03-08 18:18:55,"Sep.17.2021","TQQQ","C",17.5,86.58,0,65.6,67.9,1,490,2021-02-03 09:59:52,1.75488403808594,TRUE
